N,P,K,temperature,humidity,ph,rainfall,label
24,53,11,23.43600229968517,88.68390776242695,7.544002844145062,72.54703704899995,apple
21,55,78,23.818309841889945,35.26867802539206,5.51086310218919,48.79728923781056,mothbeans
87,59,202,24.03495681889254,54.12251974317279,7.2614391550940365,60.88029859786363,mango
68,36,42,22.923773268512306,91.45009605672456,6.324029103973302,76.6805421646111,maize
65,24,32,23.821677750219916,14.25803981,6.614820896268209,127.47175657365992,apple
31,78,18,29.202919097494846,53.03019576314816,7.103223768342728,107.50355093640441,pigeonpeas
130,40,20,21.72530660262766,90.70711533629594,5.4257911509709675,50.18544556681323,cotton
94,20,195,21.796546857552535,33.722573526266714,6.6528954429244305,64.42184773612708,jute
17,5,22,17.574599791807383,88.51071104402767,7.2861944870317465,78.83528131436479,coffee
9,62,41,25.726013163668128,85.54960054576988,6.739513695455976,46.350498020053806,grapes
80,23,15,25.01277331309613,74.54197868203437,6.379034882039307,105.32302164926348,apple
12,46,45,18.524021545675808,88.0780705894241,7.035006377625249,97.91840137297119,cotton
0,34,36,27.229916961605095,52.70070022304413,6.72432702845269,80.69963841446187,rice
16,25,10,28.741390233060002,68.86933316825139,7.614604137670527,47.1530571361838,orange
87,5,52,24.40603655100506,29.930888221228173,7.279715441310238,135.53547316417107,muskmelon
32,83,86,27.995283864563355,42.861019502947414,7.287962724522253,259.2221292588002,banana
25,62,21,17.754479725892978,45.44443841987165,6.148023013633991,122.40449843366156,lentil
25,60,41,28.70636936090871,39.797230812736984,6.796540330081843,143.20361852034304,chickpea
117,40,52,18.030782037368123,91.45694935938555,7.4288214929887575,38.187298729110935,muskmelon
20,5,10,23.90544087637245,91.74396408375065,7.282627791477365,35.196241229242325,jute
0,52,89,26.66341846837973,48.495273291650726,8.733806136129036,118.20987722455752,mothbeans
18,60,39,28.00720004353694,84.82999505781788,6.664183165022293,253.1726595630301,kidneybeans
76,56,51,21.573981186835272,64.15007746470715,8.299719724906915,115.67930246039936,chickpea
31,24,26,18.567854320193817,35.62113157391285,5.454935855664564,40.001513921830075,mungbean
20,36,22,29.394281275255548,42.275839349460895,6.028755356186088,158.92911054326044,mungbean
19,47,32,27.363967584156626,74.6716315389775,6.115592927595678,208.15239161075533,jute
35,31,200,20.020626845521644,82.1131460072596,5.6635561531569945,65.88045615663107,grapes
26,20,22,28.806675316922618,93.68812778204459,7.045876082118024,118.72002610066616,apple
38,122,10,43.67549305,20.26988221927547,6.273968728788823,118.37585987585926,mango
46,58,14,25.40389244212427,52.739865275695635,8.146554901825025,35.96783167074946,lentil
90,43,43,28.146773682068115,81.94584408964634,6.958105774448728,99.57092112766874,muskmelon
18,18,8,36.93971561742883,91.54322589879283,8.070649408212578,83.38507443382196,papaya
112,80,20,23.490184517435623,94.7940962550453,7.1554456179957935,107.88134366341055,kidneybeans
87,5,38,27.65720471040911,79.23680409446845,6.405457831479139,134.6128060048378,pomegranate
24,137,80,26.68575947583485,89.43715676551592,6.760134563587771,40.534920968583144,mango
32,65,13,17.021032348831625,76.47797034975216,6.731059107857842,51.055907608029244,cotton
26,11,181,21.940739550122355,53.10309821865262,7.365909259669313,185.0543527712847,mothbeans
2,36,37,40.16472561405223,40.42792022019254,6.566823797645935,30.54013614746847,mungbean
16,77,75,18.304328718225598,86.90354547580549,6.85931824348519,103.0956576413439,kidneybeans
23,145,42,30.365370434692924,39.55993688890878,7.1150981806003655,112.38497683293458,chickpea
85,51,53,29.481081543558687,81.4787731576553,7.883527544845933,20.21126747,muskmelon
37,59,18,26.6638812825579,20.600746199597708,6.681679605995027,39.777364743291685,mothbeans
12,136,49,21.988560720367673,87.49889485603022,5.858369326573536,110.0664536551485,pigeonpeas
36,134,36,16.38723458763036,90.09227184331186,5.5657828809887,192.13765050205177,orange
14,35,40,23.31059265292119,14.25803981,7.233521079072693,188.01967500006015,blackgram
53,32,9,28.76270197937169,50.96829935657596,7.760533665180335,26.43559826999113,kidneybeans
30,36,35,26.673741499466736,39.72192121898958,6.705424267439566,89.99410848058982,mungbean
33,43,45,21.674089837069968,85.64326413744823,6.207764189402006,124.29839329888755,banana
74,34,13,17.446011852055832,96.55367592049758,7.1758224697347215,65.67483590604414,orange
74,72,49,25.328705698728502,63.975828419420914,6.049477710134471,117.80936286898502,mango
18,62,15,30.0195486850326,53.14139299717232,6.052193937436213,89.69683815735257,mothbeans
72,78,190,20.7160496464861,54.3364682542913,7.257601725041077,113.21921227123738,jute
49,21,12,33.74886362657516,82.97282370499371,7.437880026883951,24.371088416332835,pomegranate
30,88,27,27.496836099092413,62.22936189512735,8.364242946356708,68.30527125264396,chickpea
14,25,43,25.887125613674822,66.52938143024164,5.83472237813587,265.53636030085516,banana
110,11,41,26.197024873900517,24.64269050852856,7.74231599539913,117.26801708391108,coffee
44,83,15,18.721216145900637,93.7932646776567,6.298578903417572,158.98104461348868,kidneybeans
21,65,205,25.871880814504895,83.84112409957855,5.85558395967309,123.38554455885492,kidneybeans
75,84,27,29.99603485621889,52.242046358199495,7.088451159722245,37.64964127824495,mothbeans
68,22,20,17.471531848097754,67.91579374273822,6.901218777420734,157.57125735651076,chickpea
58,36,13,23.29408274644309,14.25803981,5.579148031187482,66.49577112510231,watermelon
37,60,40,26.954351029680865,90.48554386816888,5.998257086716152,235.0726474882754,coconut
41,34,21,28.781362146804103,93.6356335673373,6.016304294012985,61.85360835472075,mungbean
13,51,15,26.192382275174197,61.01788943037347,5.791919171072417,109.1610707815427,coconut
40,22,50,25.59350289037632,93.69909282601004,6.315445309947083,114.53459226412565,watermelon
35,19,50,20.975072775779722,62.81581119515136,6.71230958904893,43.10370113099061,watermelon
7,36,48,25.187079545290242,63.226749949155035,7.113774929479394,263.43270190983264,kidneybeans
34,51,44,31.37075893405752,66.74584541908462,6.839615914018839,114.4445944975143,rice
95,34,38,25.48988218495443,89.59039550767189,6.406447801408679,103.98308705616091,apple
28,35,32,18.4137799208773,51.27436113623112,7.200611361725643,59.954371191199314,mango
37,57,22,20.561069165569407,87.29739818914001,6.194135251571256,66.4854168585676,mungbean
19,5,50,24.997582888947917,79.53688301161353,7.22990561673343,66.9752982321634,grapes
30,21,40,23.95447111584705,54.92049229587628,6.617379846527229,113.38918638630659,papaya
12,28,14,23.20089250502553,94.83431205775982,6.96728370461156,30.357248456587474,cotton
69,69,25,23.855423815009082,69.72341478116294,7.164771205210906,100.23266293818263,coffee
25,81,11,23.162482946827502,44.0659233257374,6.5762864419527505,91.05102443810715,chickpea
35,60,22,29.407358595502927,64.96595892029184,7.418867138592,105.67154365368292,lentil
74,56,5,27.37633701680611,91.26325473694996,5.870295335378991,20.21126747,orange
30,41,20,24.636416920579258,90.21048509236458,7.04692766982755,107.85917162970053,pigeonpeas
30,6,37,28.94322369268489,88.79359252952617,6.049243055751908,71.15035605596675,coconut
110,27,48,23.54824691706686,80.94107057659102,5.700686200753255,191.96399211747445,watermelon
36,5,41,25.75409535603275,71.45836604240841,6.599279287033392,101.16890839460868,coffee
17,13,34,27.679879410788683,90.09450398539171,7.013172002379982,225.30632807458687,lentil
16,48,35,30.851724042001702,58.90968418173794,7.340312395578023,94.46614380719598,papaya
41,67,37,29.18899064482478,87.41933894371086,6.0645183322642735,20.21126747,watermelon
15,53,43,23.21272395485567,61.178271916100805,6.489363839524199,78.7185415850933,coconut
6,20,41,23.10366061769699,15.470280817315775,7.938676420280492,54.011748492488046,coffee
38,55,17,23.95806203082336,88.6356972695212,5.7998773465907805,68.14852696978399,chickpea
45,11,19,8.825674745,59.50557385087712,9.93509073,73.49205246022669,lentil
24,14,53,22.24941416706271,69.28553419290574,7.011207518030756,38.413788845200045,muskmelon
0,9,205,25.152649087034455,94.67213788179556,7.689443042899958,40.61482918821987,pomegranate
86,22,52,25.79013995733634,41.50863410261862,5.730814415768016,33.213277318035374,mungbean
0,14,34,27.386144267461102,65.56343976802461,5.9831051338844645,39.328342427681285,coconut
81,20,40,27.114365596162397,89.95122844073292,6.091483511878089,117.9920034078981,mungbean
140,35,39,21.48157921499687,83.27970922072521,6.961941797188768,44.380545878099426,watermelon
35,76,26,24.871591610791985,42.92364750914627,7.725017529507754,94.96502277098098,mothbeans
20,5,27,25.00080854721345,22.28813984612298,7.859550797618093,77.58077319209107,blackgram
86,56,10,22.914164150621243,88.20562210484653,6.2176035310621565,104.46605415481335,blackgram
16,39,25,23.710013971064466,81.71888993782721,6.029639233625646,76.6579500947264,grapes
34,36,25,18.994077084944205,90.87129809685761,6.70789042429057,49.96746070752216,papaya
22,145,33,19.864392746139053,52.88895241023164,6.020465151104386,69.09949635756905,chickpea
20,47,79,32.6512284584404,93.54781692713168,7.38151480756751,34.15110336696014,mango
19,56,9,21.76782941988183,77.6622902413593,7.012369246689599,122.53404707976543,pigeonpeas
29,34,22,25.601193045322894,14.25803981,6.951337867268225,58.024775366480405,pigeonpeas
133,22,22,21.451156697831074,69.38402533438736,5.38711771805138,116.95566186204056,cotton
18,5,48,23.704965764132854,93.01369836759005,6.817614358943238,71.35374654687247,watermelon
